episode,reward,length
807,-5553.309765969472,100
808,48.64904663505116,1
809,-5623.804740014999,100
810,-6528.296780250445,100
811,-5760.556634673061,100
812,-6888.549559424318,100
813,-5996.086669980232,100
814,-6682.686876886501,100
815,-8033.533921412735,100
816,-8444.812557031335,100
817,-7982.603550632899,100
818,-7956.55504662825,100
819,-6320.2412163909385,100
820,-5551.520021382922,100
821,-5479.7297664314865,100
822,-5252.226373719414,100
823,-5290.862302631494,100
824,-5790.900712271011,100
825,-6385.784991014315,100
826,-5664.882391398819,100
827,-6148.038254720733,100
828,-6944.665600484909,100
829,-5079.936577630037,100
830,-5925.990769436223,100
831,-8063.528885613458,100
832,-6560.970066099868,100
833,-5330.841298039154,100
834,-7606.470042702017,100
835,-7283.1086077885875,100
836,-6337.5819872546035,100
837,-6096.281791818476,100
838,-7424.842422738592,100
839,-6386.018429603176,100
840,-5936.935473742668,100
841,-7900.075705677818,100
842,-5573.844770928364,100
843,-6066.4312987009935,100
844,-5718.567672325967,100
845,-6301.017985557287,100
846,-6761.358339657264,100
847,-5906.64803320451,100
848,-6681.265129908801,100
849,-5562.807856270292,100
850,-7255.43352307068,100
851,-5297.901524199463,100
852,-7671.384089132407,100
853,-7843.772891861442,100
854,-7842.688210370076,100
855,-7597.3198200255965,100
856,-6869.770066598701,100
857,-8277.435348884777,100
858,-6265.491736902271,100
859,-5996.527174080293,100
860,-5563.348914224459,100
861,-5782.721895517352,100
862,-6227.595438779659,100
863,-6239.684679952476,100
864,-5251.2085541838815,100
865,-5595.366083507707,100
866,-5780.056521688883,100
867,-5592.563972872664,100
868,-5641.185881846615,100
869,-4028.99442160339,100
870,-4520.225634940908,100
871,-3726.095488852,100
872,-4820.629884850649,100
873,-3746.397219482112,100
874,-4849.456495958758,100
875,-4747.20912211309,100
876,-4820.851459768817,100
877,-3887.5349513004476,100
878,-4738.967984225507,100
879,-6033.857579335705,100
880,-4898.649370448882,100
881,-5806.589098847567,100
882,-5704.559388933542,100
883,-6259.9046162926525,100
884,-5976.335239798903,100
885,-8473.381868028964,100
886,-6521.147058702414,100
887,-5392.448687517621,100
888,-4170.255093249475,100
889,-5288.907231314177,100
890,-5169.215862070272,100
891,-5703.456820431194,100
892,-6308.620994131549,100
893,-5716.245464189519,100
894,-5888.064420008821,100
895,45.72917497413837,1
896,-5954.318122613945,100
897,-5947.958896302596,100
898,-5443.250480625919,100
899,-5411.31668435974,100
900,-6310.578992743136,100
901,-5242.380584754558,100
902,-6048.362310443164,100
903,-5054.889770998178,100
904,-5685.300977428463,100
905,-6226.413442082005,100
906,-5691.087510301495,100
907,-5759.830773436469,100
908,-6719.84297817137,100
909,-6898.404710734807,100
910,-6678.462489319012,100
911,-8050.463038104337,100
912,-8385.84689096688,100
913,-7413.206637501642,100
914,-8626.640403772542,100
915,-8407.36641024439,100
916,-6710.801708691039,100
917,-5447.712381726207,100
918,-5509.157537667326,100
919,-5479.370531029302,100
920,-6355.691552548111,100
921,-6092.711095240314,100
922,-6657.847129108238,100
923,-7197.02164347125,100
924,-7562.429869564759,100
925,-6544.081622639178,100
926,-7112.750069806216,100
927,-5434.142134350693,100
928,-5381.1003333934905,100
929,-5238.506765403946,100
930,-5873.217857541675,100
931,-6173.146733206057,100
932,-5229.745921095064,100
933,-6202.208645651398,100
934,-5895.584556878921,100
935,-5927.516805412604,100
936,-6299.423489515137,100
937,-6034.09993534589,100
938,-8029.570489316844,100
939,-8075.258145758652,100
940,-5473.469676147636,100
941,-5546.242757684067,100
942,-6920.492564807712,100
943,-6822.081983094675,100
944,-8094.024505461303,100
945,-8578.072953283065,100
946,-5567.670833806016,100
947,-5538.482222655789,100
948,-7994.035454358133,100
949,-7710.724747377947,100
950,-5377.213790052011,100
951,-5041.993675256161,100
952,-6641.446609001492,100
953,-7280.087424919954,100
954,-8189.428604069261,100
955,-6095.514201410189,100
956,-5280.616464244169,100
957,-5380.601149623477,100
958,-5849.1926662790875,100
959,-6130.9291253721,100
960,-6923.665859254248,100
961,-5450.653050596184,100
962,-5271.917534880816,100
963,-6171.259256062791,100
964,-5525.078740764351,100
965,-5287.409155427538,100
966,-5575.002449233096,100
967,-5932.283606899073,100
968,-5758.588265740128,100
969,-7584.267285374194,100
970,-6127.398230059296,100
971,-5243.29271873637,100
972,-5714.91290682878,100
973,-7500.114061976337,100
974,-6152.521915712606,100
975,-8312.807146988127,100
976,-6391.327158326826,100
977,-6669.094831856634,100
978,-5787.842240693573,100
979,-8374.904248683177,100
980,-5656.654241902011,100
981,-4074.1821443840713,100
982,-5631.777428748213,100
983,-5893.648200595137,100
984,-5210.374979424882,100
985,-8367.004547331673,100
986,-7555.916749592605,100
987,-6579.89275645345,100
988,-6886.836991767574,100
989,-6005.967019969222,100
990,-4824.046883422885,100
991,-5418.285912223004,100
992,-5303.1948619805835,100
993,-5402.468083994789,100
994,-5008.968599012984,100
995,-5071.5649351239,100
996,-5582.544471286213,100
997,-7327.641898690865,100
998,-5763.831899425081,100
999,-6222.418425742874,100
